"","x"
"1","TP53"
"2","FAT1"
"3","PIK3CA"
"4","NOTCH1"
"5","LRP1B"
"6","PCLO"
"7","KMT2D"
"8","NSD1"
"9","CASP8"
"10","RELN"
"11","FAT4"
"12","EP300"
"13","KMT2C"
"14","FBXW7"
"15","CREBBP"
"16","RNF213"
"17","PRKDC"
"18","MGAM"
"19","LRRK2"
"20","PTPRD"
"21","SPEN"
"22","GRM3"
"23","ROS1"
"24","EPHA5"
"25","KMT2A"
"26","MKI67"
"27","PTPRB"
"28","TGFBR2"
"29","APC"
"30","ATR"
"31","RUNX1T1"
"32","ERBB4"
"33","SMARCA4"
"34","TRRAP"
"35","ATRX"
"36","MYH9"
"37","KMT2B"
"38","BRCA2"
"39","CACNA1D"
"40","EPHA7"
"41","NOTCH3"
"42","KEAP1"
"43","POLQ"
"44","PTPRT"
"45","ANKRD11"
"46","GRIN2A"
"47","NOTCH2"
"48","PDE4DIP"
"49","ZNF521"
"50","CUX1"
"51","AFF3"
"52","NUMA1"
"53","RASA1"
"54","KDM6A"
"55","SMG1"
"56","UBR5"
"57","ARID2"
"58","PIK3CG"
"59","ARID1A"
"60","NCOR2"
"61","ZFHX3"
"62","ATM"
"63","PTPRC"
"64","CUL3"
"65","NCOR1"
"66","PREX2"
"67","CDH11"
"68","EPHA3"
"69","FLT1"
"70","RB1"
"71","TRIP11"
"72","CTCF"
"73","FCRL4"
"74","ALK"
"75","CPS1"
"76","EPHB1"
"77","ERBB3"
"78","SMAD4"
"79","NF1"
"80","NFATC2"
"81","PRKD1"
"82","TP53BP1"
"83","MED12"
"84","CAMTA1"
"85","NIN"
"86","BCORL1"
"87","ASXL1"
"88","ATP2B3"
"89","CYLD"
"90","LCP1"
"91","PC"
"92","PTCH1"
"93","ROBO1"
"94","ARID1B"
"95","EP400"
"96","KSR2"
"97","DNM2"
"98","DNMT3A"
"99","EGFR"
"100","GNAS"
"101","ARHGAP35"
"102","CIITA"
"103","MYO5A"
"104","NTRK3"
"105","PDGFRA"
"106","RANBP2"
"107","RET"
"108","SMARCA2"
"109","IRS4"
"110","INPP4B"
"111","MDC1"
"112","PBRM1"
"113","BRIP1"
"114","CHD4"
"115","FLT4"
"116","KDR"
"117","LIFR"
"118","PIK3C2G"
"119","PLCG1"
"120","PTEN"
"121","TAF1"
"122","TPR"
"123","TP63"
"124","CNTRL"
"125","MGA"
"126","SETD2"
"127","KNL1"
"128","ARID5B"
"129","CCNB3"
"130","BRCA1"
"131","CHD2"
"132","EBF1"
"133","MECOM"
"134","FGFR3"
"135","HIP1"
"136","KIT"
"137","AFDN"
"138","POLE"
"139","PTPN13"
"140","UPF1"
"141","ZNF217"
"142","AXIN1"
"143","ZMYM3"
"144","PSIP1"
"145","DICER1"
"146","SETBP1"
"147","PRDM16"
"148","CARD11"
"149","WDR90"
"150","MYO18A"
"151","ALB"
"152","RHOA"
"153","HGF"
"154","IGF1R"
"155","IKBKB"
"156","MST1R"
"157","MYH11"
"158","NOTCH4"
"159","DDR2"
"160","PLCG2"
"161","PTPRS"
"162","ARID4A"
"163","NSD2"
"164","NUP214"
"165","HDAC4"
"166","CIC"
"167","ARHGEF12"
"168","AMER1"
"169","ABL2"
"170","ARNT"
"171","BCL9"
"172","BRAF"
"173","CDK8"
"174","CLTC"
"175","COL1A1"
"176","DDX3X"
"177","DNMT3B"
"178","EPAS1"
"179","MTOR"
"180","INPP4A"
"181","INPPL1"
"182","JARID2"
"183","LYN"
"184","AFF1"
"185","PAX5"
"186","PDGFRB"
"187","POLD1"
"188","PTPRK"
"189","PTPRO"
"190","SYK"
"191","CLTCL1"
"192","KDM5C"
"193","MAP3K6"
"194","USP6"
"195","USP8"
"196","MAP3K13"
"197","SETD1A"
"198","SETDB1"
"199","RAD50"
"200","NOD1"
"201","ERC1"
"202","PAK5"
"203","TET1"
"204","SLX4"
"205","TET3"
"206","RICTOR"
"207","B2M"
"208","BLM"
"209","CTNNA1"
"210","DCTN1"
"211","DNMT1"
"212","EPS15"
"213","ERBB2"
"214","ETV1"
"215","FANCD2"
"216","JAK1"
"217","PIK3CD"
"218","PIK3R1"
"219","PLAG1"
"220","ATXN2"
"221","SOS1"
"222","HIRA"
"223","TYK2"
"224","WRN"
"225","KAT6A"
"226","NCOA3"
"227","PPFIBP1"
"228","IKZF1"
"229","MERTK"
"230","SEC31A"
"231","BRD4"
"232","SETD5"
"233","ASXL2"
"234","MIB1"
"235","MRTFA"
"236","PRDM14"
"237","KDM2B"
"238","LRIG3"
"239","NUTM1"
"240","RSPO2"
"241","CBLB"
"242","CHN1"
